feeder_name,feeder_slug,state,district,band,avg_supply_hours_per_day,zero_supply_days,fault_hours_per_day,fault_hours_total,os_hours_per_day,os_hours_total,load_shedding_hours_per_day,load_shedding_hours_total,tcn_hours_total_excluded,energy_positive_days,energy_zero_or_negative_days,energy_no_data_days
NATSINTA,KN-KOF-NAT,Katsina,Katsina North,C,12.35,0,0.0,0.0,0.0,0.0,0.0,0,0,29,0,2
NBC,KN-ABA-NBC,Kano,Kano Industrial,A,22.29,0,2.09,64.71,0.0,0.0,0.0,0,15.77,30,0,1
NEW SITE,KN-BUK-NEW,Kano,Kano North,B,0.0,31,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31
NNDC,KN-BAT-NND,Kano,Kano Industrial,B,5.74,0,15.3,474.23,0.0,0.0,15.09,467.83,7.95,29,0,2
NOMANSLAND,KN-BOK-NOM,Kano,Kano Central,B,2.13,10,0.0,0.0,0.0,0.0,0.0,0,0,22,5,4
ORTHOPAEDIC,KN-BOK-ORT,Kano,Kano City,C,2.26,8,0.0,0.0,0.0,0.0,0.0,0,0,23,4,4
PANSHEKARA,KN-CHA-PAN,Kano,Kano West,C,0.97,25,20.87,646.83,0.0,0.0,26.09,808.87,0,22,1,8
RACE COURSE,KN-CLU-RAC,Kano,Kano Central,B,4.87,0,18.65,578.18,0.0,0.0,16.28,504.67,36.66,31,0,0
RIJIMA,KN-DAU-RIJ,Katsina,Katsina West,A,19.52,2,0.0,0.0,0.0,0.0,0.0,0,0,28,1,2
RIMIN KEBE,KN-SMA-RIM,Kano,Kano Central,D,1.13,20,16.81,521.22,0.0,0.0,18.1,561.14,0,17,5,9
SABON GARI,KN-IDH-SAB,Kano,Kano Central,B,3.65,2,0.0,0.0,0.0,0.0,0.0,0,0,28,1,2
SAGAGI,KN-ADO-SAG,Kano,Kano City,D,3.68,7,24.0,743.86,0.0,0.0,8.34,258.64,184.78,23,8,0
SALLARI,KN-ZAR-SAL,Kano,Kano East,C,3.61,4,0.0,0.0,0.0,0.0,0.0,0,0,29,0,2
SANI ABACHA WAY,KN-DUT2-SAN,Jigawa,Jigawa South,B,0.06,29,0.0,0.0,0.0,0.0,22.13,686.17,665.11,28,1,2
SANI MAINAGGE,KN-GOR-SAN,Kano,Kano City,C,1.39,14,5.26,163.2,0.0,0.0,4.85,150.5,0,19,5,7
SCHOOL OF NURSING,KN-BIR-SCH,Jigawa,Jigawa South,C,7.55,1,13.75,426.11,9.55,296.15,3.85,119.3,12.9,28,3,0
SHAGARI,KN-HAD-SHA,Jigawa,Jigawa North,B,9.39,1,0.0,0.0,0.0,0.0,0.0,0,0,28,1,2
SHARADA INDUSTRIAL,KN-BAT-SHA,Kano,Kano East,B,6.1,1,14.74,456.95,0.0,0.0,14.28,442.66,15.53,26,1,4
TAKUR,KN-DUT2-TAK,Jigawa,Jigawa South,B,7.16,9,0.68,21.07,0.0,0.0,0.68,21.07,0,16,13,2
